idSTUD,first,second
350982,"82,204",111
3372564,"91,106,100,190,214,220",81
1420951,"15,20,35,127,133,144,154,163",139
396459,"63,70,71,189,200,176,185,198",159
2349839,"5,95,100,123,229",84
2418938,"15,29,39,129,132,138,147,153,157",61
2396897,"64,66,70,95,190,201,177,180,203",35
397389,"62,69,106,99,190,200,179,185,193,196",12
2326310,"82,112,116,202,227",68
1422253,"15,20,38,127,133,135,144,154,158,161",88
2421263,"15,29,34,70,129,131,141,151,158",107
351540,"2,120,90,82,231",47
3350430,"11,12,103,91,216,227",28
2418845,"32,40,131,141,154,157,161,172,174",176
2419217,"29,37,52,127,133,148,153,158,161",110
1421788,"16,24,43,51,128,132,145,154,155",53
2423123,"20,35,70,129,130,134,148,151,155,164",178
2353466,"77,106,107,218,229",85
2396711,"58,66,70,91,189,201,172,174,176,184,193",195
1351201,"11,3,82,215,216",164
1353061,"79,86,82,218,226,229",136
1325812,"91,106,106,107,112,226",218
1422997,"19,40,52,127,131,150,153,157,163",107
1372870,"79,81,82,106,166,227,222",230
2419961,"17,34,53,71,82,126,133,147,153,157,159",44
2352908,"2,120,91,106,123,224",103
2396990,"55,69,86,170,200,179,181,192,202,204",171
3376284,"40,69,80,106,154,164,203,218,222",176
1399096,"61,66,69,71,189,201,172,174,177,182,198",228
2328077,"5,44,80,99,107,191,227",147
3420738,"16,27,41,70,129,133,137,141,151,155",58
2350490,"103,91,82,102,228",160
3399999,"63,69,71,189,200,178,185,202",66
2349002,"80,126,131,221,225,226,233",160
3372843,"74,80,106,167,227,222,227",43
2419124,"16,29,46,95,129,133,135,150,151,157",189
2327612,"64,93,82,100,214,220,231",190
3327180,"1,2,108,112,218",67
3372378,"77,81,82,166,216,217,220",88
2329193,"103,99,111,112,226,229",87
352470,,38
3376470,"74,81,106,128,130,200,179,182,202",192
420639,"22,35,51,128,130,140,145,154,157",72
3376191,"64,81,202,166,220,227,229",219
1351666,"1,2,95,119,123",65
3373959,"80,82,106,196,166,211,213",56
2350211,"100,102,112,204",84
3397395,"58,70,78,99,153,189,200,176,185,192",157
1395655,"19,42,59,65,69,141,189,200,179,183,192,202",227
1397143,"69,95,190,200,176,183,191,192",57
3395628,"60,69,106,100,190,200,171,173,177,180,192",185
1328974,"66,80,107,128,156,227,230",193
398226,"55,70,71,106,190,200,178,180,199",194
1372405,"3,61,80,106,193,213",97
2421914,"18,46,51,128,133,142,151,157",211
1351015,"93,102,108,112,204",60
2375693,"76,81,91,93,82,167,222,223",20
397668,"57,69,82,106,190,201,176,185,193,196",102
1422718,"15,26,38,129,130,135,150,151,158",95
1395562,"56,70,86,189,201,172,174,178,180,202",177
