id,course_no,section,title,classification,course_type,isLab,fields,areas,credit,theory,lab,limit,limit2,split,remarks
1,BS606,01,시스템 뇌과학 개론 (이),교선필수,교과,이론,기초공학,MIREBraiN,4.0,4.0,0.0,60,0,"4,4",영어강의(Delivered in English)
2,BS608,01,뇌질환 및 뇌의 질병 (이),교선필수,교과,이론,기초공학,MIREBraiN,4.0,4.0,0.0,60,0,"4,4",영어강의(Delivered in English)
3,BS743,01,발생생물학 (이) ,교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,60,0,"3,3",영어강의(Delivered in English)
4,CR522,01,융복합 생리학(이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,0,0,"3,3",
5,CR527,01,융복합 영상학 개론 (이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,0,0,"3,3",영어강의(Delivered in English)
6,EM620,01,고급 고체물리학 Ⅰ (이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,0,0,"3,3",영어강의(Delivered in English)
7,EM625,01,고급 양자역학 Ⅰ (이),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,0,0,"3,3",영어강의(Delivered in English)
8,EM675,01,고급 무기화학 Ⅰ (이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
9,EM713,01,자성체소재(이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,15,0,"3,3",영어강의(Delivered in English)
10,ES601,01,열역학 (이.공) ,교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,5,0,"3,3",영어강의(Delivered in English)
11,ES725,01,에너지 재료 전산모사(이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,10,0,"3,3",영어강의(Delivered in English)
12,ES733,01,촉매화학 (이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,10,0,"3,3",영어강의(Delivered in English)
13,HL101,01,비교역사학,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,10,0,"3,3",2014~2017학번만 신청 가능
14,HL101,02,비교역사학,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,10,0,"3,3",2014~2017학번만 신청 가능
15,HL101a,01,비교역사학,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,50,0,"3,3",2018학번 이후 학번만 신청 가능
16,HL101a,02,비교역사학,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,50,0,"3,3",2018학번 이후 학번만 신청 가능
17,HL104,01,음악 II - 합창,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,25,0,4,
18,HL104,02,음악 II - 합창,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,25,0,4,
19,HL104,03,음악 II - 보컬,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,10,0,4,
20,HL104,04,음악 II - 바이올린,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,10,0,4,
21,HL104,05,음악 II - 바이올린(심화),공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,10,0,4,
22,HL104,06,음악 II - 앙상블,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,10,0,4,
23,HL104,07,음악 II - 첼로,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,10,0,4,
24,HL104,08,음악 II - 클라리넷,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,10,0,4,
25,HL104,09,음악 II - 클라리넷,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,10,0,4,
26,HL104,10,음악 II - 피아노,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,10,0,4,
27,HL104,11,음악 II - 피아노,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,10,0,4,
28,HL104,12,음악 II - 피아노앙상블 (4 Hands),공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,10,0,4,
29,HL104,13,음악 II - 바이올린,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,10,0,4,
30,HL104,14,음악 II - 바이올린,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,10,0,4,
31,HL104,15,음악 II - 클래식 기타,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,12,0,4,
32,HL104,16,음악 II - 클래식 기타,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,12,0,4,
33,HL104,17,음악 II - 클래식 기타,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,12,0,4,
34,HL106,01,체육 II - 태권도 겨루기,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,17,0,4,
35,HL106,02,체육 II - 태권도 겨루기,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,17,0,4,
36,HL106,03,체육 II - 태권도 겨루기,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,17,0,4,
37,HL106,04,체육 II - 태권도 겨루기,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,17,0,4,
38,HL106,05,체육 II - 축구,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,33,0,4,
39,HL106,06,체육 II - 테니스,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,16,0,4,
40,HL106,07,체육 II - 테니스,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,16,0,4,
41,HL106,08,체육 II - 배드민턴,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,16,0,4,
42,HL106,09,체육 II - 배드민턴,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,16,0,4,
