idSUBJ,idINST
1,105
1,159
1,152
1,108
1,30
1,164
1,169
1,174
1,171
1,72
1,157
1,106
1,71
2,108
2,159
2,152
2,165
2,71
2,174
2,171
2,106
3,164
3,157
3,106
3,174
4,30
5,105
6,106
7,159
8,152
9,158
10,155
11,166
12,108
13,71
14,169
15,174
16,171
17,72
18,165
19,164
20,96
20,210
20,95
20,214
20,178
20,65
21,19
22,15
23,4
24,1
25,2
26,4
27,5
28,6
29,7
30,8
31,9
32,10
33,11
34,12
35,1
36,15
37,16
38,18
39,19
40,139
41,129
42,23
43,23
44,129
45,32
46,29
47,27
48,134
49,28
50,138
51,25
52,136
53,139
54,137
55,140
56,330
57,331
58,278
59,278
60,278
61,278
62,286
63,286
64,286
65,314
66,314
67,313
68,313
69,290
70,290
71,294
72,294
73,294
74,301
75,301
76,293
77,293
78,293
79,309
80,283
81,309
82,283
83,309
84,309
85,309
86,309
87,309
88,274
89,274
90,280
91,280
92,312
93,312
94,0
95,0
96,312
97,312
98,0
99,0
100,270
101,270
102,270
103,270
104,273
105,273
106,273
107,269
108,269
109,269
110,277
111,277
112,277
113,277
114,299
115,299
116,217
116,181
116,278
116,74
116,318
116,27
117,256
118,307
119,307
120,270
121,273
122,273
123,269
124,269
125,289
126,289
127,219
128,219
129,278
130,332
131,0
132,299
133,308
134,0
135,308
136,307
137,0
138,299
139,0
140,217
141,217
142,291
143,219
144,51
145,50
146,47
147,52
148,54
149,0
150,47
151,48
152,50
153,51
154,52
155,53
156,54
157,24
158,58
159,59
160,60
161,45
162,61
163,62
164,63
165,64
166,65
167,142
167,143
168,179
168,207
169,176
170,66
171,180
172,143
172,142
173,214
174,205
175,212
176,104
177,215
178,143
179,104
180,205
181,78
182,68
183,98
184,94
185,67
186,68
187,69
188,95
189,70
190,96
191,98
192,73
193,99
194,100
195,76
196,102
197,78
198,177
199,77
200,103
201,74
202,318
203,318
204,300
205,22
206,178
207,178
208,178
209,178
210,22
211,318
212,318
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,141
224,315
225,315
226,217
227,317
228,317
228,107
229,181
230,107
231,181
232,317
233,279
234,0
235,0
236,0
237,292
238,292
239,74
240,295
241,77
242,284
243,284
244,284
245,284
246,279
247,75
248,101
249,101
250,75
251,144
252,75
253,144
254,75
255,144
256,75
257,144
258,75
259,77
260,74
261,295
262,2
263,178
264,0
265,0
266,141
267,129
268,136
269,279
270,107
271,142
271,143
271,158
271,108
272,142
272,143
272,158
272,108
273,327
274,292
275,295
276,177
277,77
278,103
279,22
280,300
281,22
281,178
282,0
283,141
283,315
284,141
284,315
285,212
286,30
286,72
286,181
287,285
288,166
288,207
288,179
289,60
290,70
291,0
292,157
293,79
294,99
294,95
294,102
294,98
295,62
296,144
296,327
296,75
297,101
298,73
299,69
300,95
301,74
301,295
301,177
302,103
303,16
304,317
305,21
306,76
