course_no,section,title,idSTUD
BS606,1,시스템 뇌과학 개론 (이),1351666
BS606,1,시스템 뇌과학 개론 (이),3351825
BS606,1,시스템 뇌과학 개론 (이),2327984
BS606,1,시스템 뇌과학 개론 (이),3351546
BS606,1,시스템 뇌과학 개론 (이),351726
BS606,1,시스템 뇌과학 개론 (이),3327645
BS606,1,시스템 뇌과학 개론 (이),1352131
BS606,1,시스템 뇌과학 개론 (이),3327180
BS608,1,뇌질환 및 뇌의 질병 (이),2327984
BS608,1,뇌질환 및 뇌의 질병 (이),3351918
BS608,1,뇌질환 및 뇌의 질병 (이),3351732
BS608,1,뇌질환 및 뇌의 질병 (이),3351546
BS608,1,뇌질환 및 뇌의 질병 (이),3348942
BS608,1,뇌질환 및 뇌의 질병 (이),1351666
BS608,1,뇌질환 및 뇌의 질병 (이),351726
BS608,1,뇌질환 및 뇌의 질병 (이),1352131
BS608,1,뇌질환 및 뇌의 질병 (이),3327180
BS608,1,뇌질환 및 뇌의 질병 (이),3327645
BS608,1,뇌질환 및 뇌의 질병 (이),325779
BS608,1,뇌질환 및 뇌의 질병 (이),352563
BS608,1,뇌질환 및 뇌의 질병 (이),2352908
BS608,1,뇌질환 및 뇌의 질병 (이),351540
BS608,1,뇌질환 및 뇌의 질병 (이),352842
BS900,2,Thesis (이.공),2327984
BS900,5,Thesis (이.공),3327645
BS900,6,Thesis (이.공),3351918
BS900,7,Thesis (이.공),2352443
BS900,9,Thesis (이.공),3351546
BS900,10,Thesis (이.공),3352011
BS900,10,Thesis (이.공),1351666
BS900,11,Thesis (이.공),3349593
CR522,1,융복합 생리학(이.공),3351081
CR522,1,융복합 생리학(이.공),2351699
CR522,1,융복합 생리학(이.공),2349281
CR522,1,융복합 생리학(이.공),1350364
CR522,1,융복합 생리학(이.공),351726
CR522,1,융복합 생리학(이.공),3348942
CR522,1,융복합 생리학(이.공),351540
CR522,1,융복합 생리학(이.공),2352908
CR522,1,융복합 생리학(이.공),2351234
CR527,1,융복합 영상학 개론 (이.공),2328077
CR527,1,융복합 영상학 개론 (이.공),1375102
CR527,1,융복합 영상학 개론 (이.공),1349713
CR527,1,융복합 영상학 개론 (이.공),2349839
CR527,1,융복합 영상학 개론 (이.공),326151
CR527,1,융복합 영상학 개론 (이.공),1326742
CR527,1,융복합 영상학 개론 (이.공),3349593
CR527,1,융복합 영상학 개론 (이.공),3351546
CR529,1,과학과 예술 (이.공),1350457
CR529,1,과학과 예술 (이.공),3351174
CR529,1,과학과 예술 (이.공),3351639
CR529,1,과학과 예술 (이.공),3327738
CR529,1,과학과 예술 (이.공),352563
CR529,1,과학과 예술 (이.공),3350244
CR529,1,과학과 예술 (이.공),3352848
CR529,1,과학과 예술 (이.공),3352941
CR529,1,과학과 예술 (이.공),1352410
CR529,1,과학과 예술 (이.공),3328017
EM620,1,고급 고체물리학 Ⅰ (이.공),2348909
EM620,1,고급 고체물리학 Ⅰ (이.공),2373089
EM620,1,고급 고체물리학 Ⅰ (이.공),1373800
EM620,1,고급 고체물리학 Ⅰ (이.공),375906
EM620,1,고급 고체물리학 Ⅰ (이.공),327267
EM620,1,고급 고체물리학 Ⅰ (이.공),350796
EM620,1,고급 고체물리학 Ⅰ (이.공),3353313
EM620,1,고급 고체물리학 Ⅰ (이.공),3328296
EM620,1,고급 고체물리학 Ⅰ (이.공),2350769
EM620,1,고급 고체물리학 Ⅰ (이.공),3350337
EM620,1,고급 고체물리학 Ⅰ (이.공),1350271
EM620,1,고급 고체물리학 Ⅰ (이.공),2349932
EM625,1,고급 양자역학 Ⅰ (이),372930
EM625,1,고급 양자역학 Ⅰ (이),327267
EM625,1,고급 양자역학 Ⅰ (이),1350271
EM674,1,고체화학 Ⅰ (이.공),1327579
EM674,1,고체화학 Ⅰ (이.공),2372531
EM674,1,고체화학 Ⅰ (이.공),372744
EM674,1,고체화학 Ⅰ (이.공),3374145
EM674,1,고체화학 Ⅰ (이.공),372093
EM674,1,고체화학 Ⅰ (이.공),1352410
EM674,1,고체화학 Ⅰ (이.공),1351201
EM674,1,고체화학 Ⅰ (이.공),2353373
EM674,1,고체화학 Ⅰ (이.공),2350769
EM674,1,고체화학 Ⅰ (이.공),3349035
EM674,1,고체화학 Ⅰ (이.공),3350430
EM674,1,고체화학 Ⅰ (이.공),1350457
EM674,1,고체화학 Ⅰ (이.공),3328017
EM713,1,자성체소재(이.공),1349248
EM713,1,자성체소재(이.공),2348909
EM713,1,자성체소재(이.공),3328296
EM900,3,Thesis (이.공),2348909
EM900,10,Thesis (이.공),327267
EM900,10,Thesis (이.공),3353313
EM900,10,Thesis (이.공),2350769
EM900,14,Thesis (이.공),3328296
EM900,15,Thesis (이.공),2353373
ES601,1,열역학 (이.공) ,3328017
ES601,1,열역학 (이.공) ,2348816
ES601,1,열역학 (이.공) ,1351294
ES601,1,열역학 (이.공) ,3349035
ES601,1,열역학 (이.공) ,3349314
ES601,1,열역학 (이.공) ,3329226
ES601,1,열역학 (이.공) ,1348783
ES601,1,열역학 (이.공) ,1328230
ES603,1,전기화학(이.공),1372405
ES603,1,전기화학(이.공),351447
ES603,1,전기화학(이.공),3376005
ES603,1,전기화학(이.공),372093
ES603,1,전기화학(이.공),3329226
ES603,1,전기화학(이.공),1351294
ES603,1,전기화학(이.공),1351201
ES603,1,전기화학(이.공),3350895
ES603,1,전기화학(이.공),3349035
ES603,1,전기화학(이.공),1350457
ES603,1,전기화학(이.공),2351048
ES603,1,전기화학(이.공),1348783
ES625,1,고분자 개론(이.공) ,2348816
ES625,1,고분자 개론(이.공) ,3329412
ES625,1,고분자 개론(이.공) ,351447
ES625,1,고분자 개론(이.공) ,3373215
ES625,1,고분자 개론(이.공) ,373767
ES625,1,고분자 개론(이.공) ,3350895
ES625,1,고분자 개론(이.공) ,3349314
ES625,1,고분자 개론(이.공) ,349959
ES625,1,고분자 개론(이.공) ,1351108
ES625,1,고분자 개론(이.공) ,1350271
ES725,1,에너지 재료 전산모사(이.공),1350271
ES733,1,촉매화학 (이.공),372744
ES733,1,촉매화학 (이.공),1351759
ES733,1,촉매화학 (이.공),1375009
ES733,1,촉매화학 (이.공),3375168
ES733,1,촉매화학 (이.공),1352410
ES733,1,촉매화학 (이.공),1327579
ES733,1,촉매화학 (이.공),3328017
ES733,1,촉매화학 (이.공),3350430
ES900,4,Thesis (이.공),1348783
ES900,9,Thesis (이.공),1351294
ES900,9,Thesis (이.공),3349314
HL101,1,비교역사학,3398697
HL101,1,비교역사학,1373521
HL101,1,비교역사학,2395967
HL101,1,비교역사학,374790
HL101,1,비교역사학,1374172
HL101,1,비교역사학,373023
HL101,1,비교역사학,3398790
HL101,1,비교역사학,1395748
HL101,1,비교역사학,375441
HL101,1,비교역사학,2398385
HL101,2,비교역사학,2397548
HL101,2,비교역사학,1396864
HL101,2,비교역사학,395715
HL101,2,비교역사학,3395442
HL101,2,비교역사학,2398757
HL101,2,비교역사학,3395349
HL101,2,비교역사학,373953
HL101,2,비교역사학,399993
HL101,2,비교역사학,2395874
HL101a,1,비교역사학,2418938
HL101a,1,비교역사학,421848
HL101a,1,비교역사학,3420366
HL101a,1,비교역사학,3419529
HL101a,1,비교역사학,3420459
HL101a,1,비교역사학,1422253
HL101a,1,비교역사학,421755
HL101a,1,비교역사학,2420798
HL101a,1,비교역사학,422592
HL101a,1,비교역사학,418593
HL101a,1,비교역사학,3420645
HL101a,1,비교역사학,3418599
HL101a,1,비교역사학,420546
HL101a,1,비교역사학,3418785
HL101a,1,비교역사학,3421947
HL101a,1,비교역사학,2420705
HL101a,1,비교역사학,2419403
HL101a,1,비교역사학,423150
