course_no,section,title,unwelcome,day_separate,day_along,stride,sametime
SE102a,1,다변수미적분학,,,,,
SE102a,2,다변수미적분학,,,,,
SE102a,3,다변수미적분학,,,,,
SE102a,4,다변수미적분학,,,,,
SE222c,1,"복합 공학 수학(이,공)",,,,,
SE222c,2,"복합 공학 수학(이,공)","(월화수목,9,10.5,n)(금,n)",,,,
SE202b,1,복합 공학 수학,,,,,
SE202b,2,복합 공학 수학,"(월화수목,9,10.5,n)(금,n)",,,,
SE221c,1,"복소함수론(이,공)",,,,,
SE202c,1,복합공학수학-심화,,,,,
SE206a,1,확률과 통계 및 실습,"(월,9,12,n)(금,n)",,"(SE206a,1),(SE206a,2)",,"(SE206a,1),(SE211a,1)"
SE206a,2,확률과 통계 및 실습,"(월,9,12,n)(금,n)",,"(SE206a,1),(SE206a,2)",,"(SE206a,2),(SE211a,2)"
SE211a,1,확률과 통계 및 실습(*과목추가),"(월,9,12,n)(금,n)",,"(SE211a,1),(SE211a,2)",,"(SE206a,1),(SE211a,1)"
SE211a,2,확률과 통계 및 실습(*과목추가),"(월,9,12,n)(금,n)",,"(SE211a,1),(SE211a,2)",,"(SE206a,2),(SE211a,2)"
SE325,1,"편미분방정식(이,공)",,,,,
SE328,1,위상수학(이),,,,,
SE327a,1,고급대수(이),,,,,
SE324a,1,"수치해석(이,공)","(월화수목,9,10.5,n)(금,n)",,,,
SE423,1,"비선형동력계(이,공)",,,,,
SE425a,1,"응용수학특론(이,공) : 행렬군 및 응용",,,,,
SE105b,1,전자기학-기초,,"(SE105b,1),(SE333a,1)",,,"(SE105,1),(SE105a,1),(SE105b,1)"
SE105,1,전자기학,,,,,"(SE105,1),(SE105a,1),(SE105b,1)"
SE105,2,전자기학,,,,,
SE105a,1,전자기학-심화,,"(SE105a,1),(SE334a,1)",,,"(SE105,1),(SE105a,1),(SE105b,1)"
SE106,1,전자기학 실험,"(월화수목금,10,12,y)",,,,
SE106,2,전자기학 실험,"(월화수목금,10,12,y)",,,,
SE106,3,전자기학 실험,"(월화수목금,10,12,y)",,,,
SE106,4,전자기학 실험,,,,,
SE106,5,전자기학 실험,,,,,
SE106,6,전자기학 실험,,,,,
SE106,7,전자기학 실험,,,,,
SE232a,1,"열 및 통계물리(이,공)",,,,,
SE237,1,"전기역학(이,공)",,,,,
SE334a,1,"고체물리(이,공)",,"(SE105a,1),(SE334a,1)",,,
SE336,1,"응용물리 실험(이,공)",,,,,
SE333a,1,"양자역학의 응용(이,공)",,"(SE105b,1),(SE333a,1)",,,
SE434,1,"응용물리특론(이,공)","(월수,15,16.5,y)",,,,
SE109,1,화학 반응의 이해,"(월,9,12,n)(수,n)",,,,
