course_no,section,limit,limit2,title,credits,fields
SE102a,1,60,0,다변수미적분학,3:3:1,수학
SE102a,2,60,0,다변수미적분학,3:3:1,수학
SE102a,3,60,0,다변수미적분학,3:3:1,수학
SE102a,4,60,0,다변수미적분학,3:3:1,수학
SE222c,1,50,0,"복합 공학 수학(이,공)",3:3:1,수학
SE222c,2,50,0,"복합 공학 수학(이,공)",3:3:1,수학
SE202b,1,15,0,복합 공학 수학,3:3:1,수학
SE202b,2,15,0,복합 공학 수학,3:3:1,수학
SE221c,1,50,0,"복소함수론(이,공)",3:3:1,수학
SE202c,1,15,0,복합공학수학-심화,3:3:1,수학
SE206a,1,55,0,확률과 통계 및 실습,3:3:1,수학
SE206a,2,55,0,확률과 통계 및 실습,3:3:1,수학
SE211a,1,15,0,확률과 통계 및 실습(*과목추가),3:3:1,수학
SE211a,2,15,0,확률과 통계 및 실습(*과목추가),3:3:1,수학
SE325,1,50,0,"편미분방정식(이,공)",3:3:0,수학
SE328,1,50,0,위상수학(이),3:3:0,수학
SE327a,1,50,0,고급대수(이),3:3:0,수학
SE324a,1,50,0,"수치해석(이,공)",3:3:0,수학
SE423,1,50,0,"비선형동력계(이,공)",3:3:0,수학
SE425a,1,50,0,"응용수학특론(이,공) : 행렬군 및 응용",3:3:0,수학
SE105b,1,65,0,전자기학-기초,3:3:0,물리
SE105,1,65,0,전자기학,3:3:0,물리
SE105,2,65,0,전자기학,3:3:0,물리
SE105a,1,65,0,전자기학-심화,3:3:0,물리
SE106,1,20,0,전자기학 실험,1:0:2,물리
SE106,2,20,0,전자기학 실험,1:0:2,물리
SE106,3,20,0,전자기학 실험,1:0:2,물리
SE106,4,20,0,전자기학 실험,1:0:2,물리
SE106,5,20,0,전자기학 실험,1:0:2,물리
SE106,6,20,0,전자기학 실험,1:0:2,물리
SE106,7,20,0,전자기학 실험,1:0:2,물리
SE232a,1,65,0,"열 및 통계물리(이,공)",3:3:0,물리
SE237,1,65,0,"전기역학(이,공)",3:3:0,물리
SE334a,1,60,0,"고체물리(이,공)",3:3:0,물리
SE336,1,24,0,"응용물리 실험(이,공)",2:0:4,물리
SE333a,1,30,0,"양자역학의 응용(이,공)",3:3:0,물리
SE434,1,24,0,"응용물리특론(이,공)",3:3:0,물리
SE109,1,55,0,화학 반응의 이해,3:3:0,화학
SE109,2,55,0,화학 반응의 이해,3:3:0,화학
SE109,3,55,0,화학 반응의 이해,3:3:0,화학
SE109,4,55,0,화학 반응의 이해,3:3:0,화학
SE108a,1,22,0,기초화학실험,1:0:2,화학
SE108a,2,22,0,기초화학실험,1:0:2,화학
SE108a,3,22,0,기초화학실험,1:0:2,화학
SE108a,4,22,0,기초화학실험,1:0:2,화학
SE108a,5,22,0,기초화학실험,1:0:2,화학
SE108a,6,22,0,기초화학실험,1:0:2,화학
SE108a,7,22,0,기초화학실험,1:0:2,화학
SE108a,8,22,0,기초화학실험,1:0:2,화학
SE108a,9,22,0,기초화학실험,1:0:2,화학
SE108a,10,22,0,기초화학실험,1:0:2,화학
SE246d,1,50,0,무기화학I(이),3:3:0,화학
SE248a,1,50,0,물리화학I(이),3:3:0,화학
SE245e,1,50,0,유기화학II(이),3:3:0,화학
SE245c,1,50,0,유기화학의 이해(이),3:3:0,화학
SE249b,1,50,0,화학공학개론(공),3:3:0,화학
SE345,1,50,0,유기반응의 이해(이),3:3:0,화학
SE346b,1,18,0,심화화학실험II (물리.무기화학)(이),2:0:4,화학
SE346b,2,18,0,심화화학실험II (물리.무기화학)(이),2:0:4,화학
SE111,1,60,0,분자와 생명현상,3:3:0,생물
SE111,2,60,0,분자와 생명현상,3:3:0,생물
SE111a,1,60,0,분자와 생명현상-심화,3:3:0,생물
SE111b,1,60,0,분자와 생명현상-기초,3:3:0,생물
SE112,1,24,0,분자와 생명현상 실험,1:0:2,생물
SE112,2,24,0,분자와 생명현상 실험,1:0:2,생물
